Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/tasks/244,1,0,21.56500000273809,21.56500000273809,21.56500000273809,21.56500000273809,0.0,0.017214538049524802,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/tasks/245,1,0,19.884399996954016,19.884399996954016,19.884399996954016,19.884399996954016,0.0,0.017214538049524802,0.0,20,20,20,20,20,20,20,20,20,20,20
PATCH,/tasks/245,1,0,21.37600000423845,21.37600000423845,21.37600000423845,21.37600000423845,88.0,0.017214538049524802,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/tasks/245,1,0,10.438400000566617,10.438400000566617,10.438400000566617,10.438400000566617,96.0,0.017214538049524802,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/246,1,0,9.756500003277324,9.756500003277324,9.756500003277324,9.756500003277324,89.0,0.017214538049524802,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/tasks/247,1,0,3.6382999969646335,3.6382999969646335,3.6382999969646335,3.6382999969646335,89.0,0.017214538049524802,0.0,4,4,4,4,4,4,4,4,4,4,4
PATCH,/tasks/247,1,0,13.970699998026248,13.970699998026248,13.970699998026248,13.970699998026248,89.0,0.017214538049524802,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,/tasks/249,1,0,21.60820000426611,21.60820000426611,21.60820000426611,21.60820000426611,0.0,0.017214538049524802,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/tasks/251,1,0,8840.626299999713,8840.626299999713,8840.626299999713,8840.626299999713,0.0,0.017214538049524802,0.0,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
GET,/tasks/252,1,0,8.199399999284651,8.199399999284651,8.199399999284651,8.199399999284651,88.0,0.017214538049524802,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/252,2,0,6.463300000177696,4293.665850000252,6.463300000177696,8580.868400000327,88.0,0.034429076099049605,0.0,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
PUT,/tasks/252,1,0,11.621199999353848,11.621199999353848,11.621199999353848,11.621199999353848,95.0,0.017214538049524802,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/256,1,0,11.298099998384714,11.298099998384714,11.298099998384714,11.298099998384714,96.0,0.017214538049524802,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/256,1,0,13.12340000004042,13.12340000004042,13.12340000004042,13.12340000004042,96.0,0.017214538049524802,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/259,1,0,7.336100003158208,7.336100003158208,7.336100003158208,7.336100003158208,0.0,0.017214538049524802,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/259,1,0,4.0455999987898394,4.0455999987898394,4.0455999987898394,4.0455999987898394,95.0,0.017214538049524802,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/259,1,0,11.340699995344039,11.340699995344039,11.340699995344039,11.340699995344039,95.0,0.017214538049524802,0.0,11,11,11,11,11,11,11,11,11,11,11
PATCH,/tasks/264,1,0,15.094000002136454,15.094000002136454,15.094000002136454,15.094000002136454,96.0,0.017214538049524802,0.0,15,15,15,15,15,15,15,15,15,15,15
PUT,/tasks/264,2,0,18.08560000063153,22.390499998437008,18.08560000063153,26.695399996242486,95.5,0.034429076099049605,0.0,27,27,27,27,27,27,27,27,27,27,27
PATCH,/tasks/266,1,0,29.971600000862963,29.971600000862963,29.971600000862963,29.971600000862963,88.0,0.017214538049524802,0.0,30,30,30,30,30,30,30,30,30,30,30
PUT,/tasks/266,1,0,8.576100000937004,8.576100000937004,8.576100000937004,8.576100000937004,95.0,0.017214538049524802,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/268,1,0,4.096300006494857,4.096300006494857,4.096300006494857,4.096300006494857,89.0,0.017214538049524802,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/tasks/271,1,0,5.262099999526981,5.262099999526981,5.262099999526981,5.262099999526981,89.0,0.017214538049524802,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/271,3,0,7,8.269233333218532,6.958999998460058,10.381200001575053,89.0,0.05164361414857441,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/tasks/273,1,0,2387.591499995324,2387.591499995324,2387.591499995324,2387.591499995324,89.0,0.017214538049524802,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
PUT,/tasks/273,1,0,16.344399999070447,16.344399999070447,16.344399999070447,16.344399999070447,96.0,0.017214538049524802,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/tasks/275,1,0,9.948699997039512,9.948699997039512,9.948699997039512,9.948699997039512,88.0,0.017214538049524802,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/275,1,0,12.847900004999246,12.847900004999246,12.847900004999246,12.847900004999246,88.0,0.017214538049524802,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/tasks/275,1,0,25.159500000881962,25.159500000881962,25.159500000881962,25.159500000881962,96.0,0.017214538049524802,0.0,25,25,25,25,25,25,25,25,25,25,25
PUT,/tasks/278,1,0,8.673799995449372,8.673799995449372,8.673799995449372,8.673799995449372,95.0,0.017214538049524802,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/281,2,0,4.427199994097464,14.717299996846123,4.427199994097464,25.00739999959478,88.0,0.034429076099049605,0.0,25,25,25,25,25,25,25,25,25,25,25
,Aggregated,235,0,13,266.028698723196,3.60700000601355,12749.810599998455,5757.629787234043,4.045416441638329,0.0,13,21,23,25,35,62,8300,8800,13000,13000,13000
