Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/tasks/1019,1,0,20.053499996720348,20.053499996720348,20.053499996720348,20.053499996720348,97.0,0.004176017457586225,0.0,20,20,20,20,20,20,20,20,20,20,20
PUT,/tasks/1020,1,0,63.36569999984931,63.36569999984931,63.36569999984931,63.36569999984931,96.0,0.004176017457586225,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,/tasks/1022,1,0,7.137900000088848,7.137900000088848,7.137900000088848,7.137900000088848,0.0,0.004176017457586225,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/1022,1,0,4.648300004191697,4.648300004191697,4.648300004191697,4.648300004191697,90.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/tasks/1023,1,0,2017.9146000009496,2017.9146000009496,2017.9146000009496,2017.9146000009496,0.0,0.004176017457586225,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/tasks/1025,2,0,3.4962000063387677,183.49385000328766,3.4962000063387677,363.49150000023656,93.5,0.00835203491517245,0.0,360,360,360,360,360,360,360,360,360,360,360
PUT,/tasks/1025,1,0,14.19779999559978,14.19779999559978,14.19779999559978,14.19779999559978,97.0,0.004176017457586225,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,/tasks/1026,1,0,10.086100002808962,10.086100002808962,10.086100002808962,10.086100002808962,0.0,0.004176017457586225,0.0,10,10,10,10,10,10,10,10,10,10,10
PATCH,/tasks/1026,1,0,8.061000000452623,8.061000000452623,8.061000000452623,8.061000000452623,90.0,0.004176017457586225,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/tasks/1027,1,0,1669.5646999942255,1669.5646999942255,1669.5646999942255,1669.5646999942255,0.0,0.004176017457586225,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
PATCH,/tasks/1030,1,0,4.617599995981436,4.617599995981436,4.617599995981436,4.617599995981436,90.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/tasks/1030,1,0,1129.486600002565,1129.486600002565,1129.486600002565,1129.486600002565,97.0,0.004176017457586225,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
DELETE,/tasks/1031,1,0,9.640500000386965,9.640500000386965,9.640500000386965,9.640500000386965,0.0,0.004176017457586225,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/1031,1,0,22.90730000095209,22.90730000095209,22.90730000095209,22.90730000095209,97.0,0.004176017457586225,0.0,23,23,23,23,23,23,23,23,23,23,23
PATCH,/tasks/1037,1,0,39.44979999505449,39.44979999505449,39.44979999505449,39.44979999505449,89.0,0.004176017457586225,0.0,39,39,39,39,39,39,39,39,39,39,39
PUT,/tasks/1037,2,0,23.205600002256688,47.18460000003688,23.205600002256688,71.16359999781707,97.0,0.00835203491517245,0.0,71,71,71,71,71,71,71,71,71,71,71
DELETE,/tasks/1038,1,0,10.521899996092543,10.521899996092543,10.521899996092543,10.521899996092543,0.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/1038,1,0,593.9991000050213,593.9991000050213,593.9991000050213,593.9991000050213,97.0,0.004176017457586225,0.0,590,590,590,590,590,590,590,590,590,590,590
PUT,/tasks/1042,2,0,15.319699996325653,286.28769999704673,15.319699996325653,557.2556999977678,97.0,0.00835203491517245,0.0,560,560,560,560,560,560,560,560,560,560,560
DELETE,/tasks/1044,1,0,21.634000004269183,21.634000004269183,21.634000004269183,21.634000004269183,0.0,0.004176017457586225,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/tasks/1044,2,0,6.440699995437171,7.8032999954302795,6.440699995437171,9.165899995423388,98.0,0.00835203491517245,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/1044,1,0,15.113199995539617,15.113199995539617,15.113199995539617,15.113199995539617,98.0,0.004176017457586225,0.0,15,15,15,15,15,15,15,15,15,15,15
PUT,/tasks/1044,1,0,78.74299999821233,78.74299999821233,78.74299999821233,78.74299999821233,97.0,0.004176017457586225,0.0,79,79,79,79,79,79,79,79,79,79,79
PATCH,/tasks/1045,1,0,19.80770000227494,19.80770000227494,19.80770000227494,19.80770000227494,90.0,0.004176017457586225,0.0,20,20,20,20,20,20,20,20,20,20,20
PATCH,/tasks/1049,1,0,83.38650000223424,83.38650000223424,83.38650000223424,83.38650000223424,90.0,0.004176017457586225,0.0,83,83,83,83,83,83,83,83,83,83,83
PUT,/tasks/1049,1,0,823.0019000038737,823.0019000038737,823.0019000038737,823.0019000038737,97.0,0.004176017457586225,0.0,820,820,820,820,820,820,820,820,820,820,820
PUT,/tasks/1052,1,0,11.013800001819618,11.013800001819618,11.013800001819618,11.013800001819618,97.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/1053,1,0,11.442499999247957,11.442499999247957,11.442499999247957,11.442499999247957,0.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/1053,1,0,7.22949999908451,7.22949999908451,7.22949999908451,7.22949999908451,90.0,0.004176017457586225,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/1054,3,0,6,21.84750000014901,4.544000003079418,54.94419999740785,90.0,0.012528052372758674,0.0,6,6,55,55,55,55,55,55,55,55,55
PATCH,/tasks/1054,2,0,10.464699997100979,13.350749995879596,10.464699997100979,16.236799994658213,89.5,0.00835203491517245,0.0,16,16,16,16,16,16,16,16,16,16,16
PUT,/tasks/1055,1,0,102.43150000314927,102.43150000314927,102.43150000314927,102.43150000314927,97.0,0.004176017457586225,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/tasks/1056,1,0,22.679099995002616,22.679099995002616,22.679099995002616,22.679099995002616,0.0,0.004176017457586225,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/tasks/1057,1,0,36.69219999574125,36.69219999574125,36.69219999574125,36.69219999574125,0.0,0.004176017457586225,0.0,37,37,37,37,37,37,37,37,37,37,37
PATCH,/tasks/1057,1,0,84.00120000442257,84.00120000442257,84.00120000442257,84.00120000442257,98.0,0.004176017457586225,0.0,84,84,84,84,84,84,84,84,84,84,84
PUT,/tasks/1057,1,0,21.904300003370736,21.904300003370736,21.904300003370736,21.904300003370736,97.0,0.004176017457586225,0.0,22,22,22,22,22,22,22,22,22,22,22
PATCH,/tasks/1060,1,0,78.10940000490518,78.10940000490518,78.10940000490518,78.10940000490518,98.0,0.004176017457586225,0.0,78,78,78,78,78,78,78,78,78,78,78
PUT,/tasks/1060,2,0,9,31.62500000325963,8.662800006277394,54.587200000241864,97.0,0.00835203491517245,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/tasks/1061,2,0,7.140399997297209,16.690399996150518,7.140399997297209,26.240399995003827,90.0,0.00835203491517245,0.0,26,26,26,26,26,26,26,26,26,26,26
PATCH,/tasks/1061,1,0,169.91659999621334,169.91659999621334,169.91659999621334,169.91659999621334,89.0,0.004176017457586225,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/tasks/1062,1,0,193.5035999995307,193.5035999995307,193.5035999995307,193.5035999995307,0.0,0.004176017457586225,0.0,190,190,190,190,190,190,190,190,190,190,190
PATCH,/tasks/1062,2,0,10.364800000388641,11.474800001451513,10.364800000388641,12.584800002514385,97.5,0.00835203491517245,0.0,13,13,13,13,13,13,13,13,13,13,13
PUT,/tasks/1062,1,0,11.483900001621805,11.483900001621805,11.483900001621805,11.483900001621805,97.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/1064,1,0,106.91770000266843,106.91770000266843,106.91770000266843,106.91770000266843,0.0,0.004176017457586225,0.0,110,110,110,110,110,110,110,110,110,110,110
PATCH,/tasks/1064,2,0,35,38.03084999890416,34.744899996439926,41.31680000136839,88.5,0.00835203491517245,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/tasks/1065,1,0,326.7764000047464,326.7764000047464,326.7764000047464,326.7764000047464,97.0,0.004176017457586225,0.0,330,330,330,330,330,330,330,330,330,330,330
GET,/tasks/1066,1,0,24.195699996198528,24.195699996198528,24.195699996198528,24.195699996198528,90.0,0.004176017457586225,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/tasks/1067,3,0,34,33.88339999704234,16.541199998755474,51.59489999641664,92.33333333333333,0.012528052372758674,0.0,34,34,52,52,52,52,52,52,52,52,52
PATCH,/tasks/1067,1,0,50.47210000338964,50.47210000338964,50.47210000338964,50.47210000338964,90.0,0.004176017457586225,0.0,50,50,50,50,50,50,50,50,50,50,50
PUT,/tasks/1067,1,0,102.61159999936353,102.61159999936353,102.61159999936353,102.61159999936353,97.0,0.004176017457586225,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/tasks/1072,1,0,9.183099995425437,9.183099995425437,9.183099995425437,9.183099995425437,0.0,0.004176017457586225,0.0,9,9,9,9,9,9,9,9,9,9,9
PATCH,/tasks/1072,1,0,85.14149999973597,85.14149999973597,85.14149999973597,85.14149999973597,89.0,0.004176017457586225,0.0,85,85,85,85,85,85,85,85,85,85,85
PATCH,/tasks/1074,1,0,4.579899999953341,4.579899999953341,4.579899999953341,4.579899999953341,90.0,0.004176017457586225,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/tasks/1076,1,0,12.84509999823058,12.84509999823058,12.84509999823058,12.84509999823058,0.0,0.004176017457586225,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/1076,1,0,12.479400000302121,12.479400000302121,12.479400000302121,12.479400000302121,90.0,0.004176017457586225,0.0,12,12,12,12,12,12,12,12,12,12,12
PATCH,/tasks/1076,1,0,11.03789999615401,11.03789999615401,11.03789999615401,11.03789999615401,90.0,0.004176017457586225,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/tasks/1077,1,0,13.665400001627859,13.665400001627859,13.665400001627859,13.665400001627859,0.0,0.004176017457586225,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,/tasks/1082,1,0,90.4926000002888,90.4926000002888,90.4926000002888,90.4926000002888,0.0,0.004176017457586225,0.0,90,90,90,90,90,90,90,90,90,90,90
PUT,/tasks/1082,1,0,59.34549999801675,59.34549999801675,59.34549999801675,59.34549999801675,97.0,0.004176017457586225,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/tasks/1083,1,0,21.45349999773316,21.45349999773316,21.45349999773316,21.45349999773316,0.0,0.004176017457586225,0.0,21,21,21,21,21,21,21,21,21,21,21
PUT,/tasks/1083,1,0,198.723900000914,198.723900000914,198.723900000914,198.723900000914,97.0,0.004176017457586225,0.0,200,200,200,200,200,200,200,200,200,200,200
PUT,/tasks/1084,1,0,8.55030000093393,8.55030000093393,8.55030000093393,8.55030000093393,97.0,0.004176017457586225,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/tasks/1085,1,0,21.477399997820612,21.477399997820612,21.477399997820612,21.477399997820612,0.0,0.004176017457586225,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/tasks/1085,1,0,30.411300002015196,30.411300002015196,30.411300002015196,30.411300002015196,97.0,0.004176017457586225,0.0,30,30,30,30,30,30,30,30,30,30,30
PATCH,/tasks/1085,1,0,34.45179999835091,34.45179999835091,34.45179999835091,34.45179999835091,90.0,0.004176017457586225,0.0,34,34,34,34,34,34,34,34,34,34,34
PUT,/tasks/1085,2,0,10.46669999777805,11.759549997805152,10.46669999777805,13.052399997832254,97.0,0.00835203491517245,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/tasks/1086,1,0,19.98769999772776,19.98769999772776,19.98769999772776,19.98769999772776,0.0,0.004176017457586225,0.0,20,20,20,20,20,20,20,20,20,20,20
PATCH,/tasks/1086,1,0,75.95829999627313,75.95829999627313,75.95829999627313,75.95829999627313,97.0,0.004176017457586225,0.0,76,76,76,76,76,76,76,76,76,76,76
