Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2763,0,110.0,214.68111635891307,15.387199993710965,3690.4730000096606,145856.99058993848,11.554672254532452,0.0,110,160,220,270,490,750,1200,1800,3500,3700,3700
POST,/tasks/,2746,12,39,314.8840075018193,1.8401999986963347,8274.894499991206,732.8306627822287,11.483579446596494,0.050183158543029106,39,95,170,250,640,1600,3400,5300,7800,8300,8300
,Aggregated,5509,12,83,264.6279559084539,1.8401999986963347,8274.894499991206,73518.82701034671,23.038251701128946,0.050183158543029106,83,140,200,260,540,1000,2400,3500,7500,8300,8300
