Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,65,0,21,93.87087846116628,13.552500000514556,2277.544800002943,21553.138461538463,1.120074637635836,0.0,21,23,30,35,46,60,1800,2300,2300,2300,2300
POST,/tasks/,70,0,28,479.470738571607,12.32989999698475,9387.320800000452,90.4,1.2062342251462848,0.0,29,38,42,140,1500,3300,6000,9400,9400,9400,9400
,Aggregated,135,0,25,293.81154666658,12.32989999698475,9387.320800000452,10424.31111111111,2.326308862782121,0.0,25,31,38,42,270,1900,5000,6000,9400,9400,9400
