Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2725,2,92,214.12055691747946,14.16820000304142,4337.938299999223,145765.41541284404,11.406928727015288,0.008372057781295624,92,140,200,250,520,880,1400,1800,3800,4300,4300
POST,/tasks/,2720,9,31,311.5656474631737,9.56160000350792,10530.155800006469,523.0055147058823,11.385998582562047,0.0376742600158303,31,68,130,200,710,1900,3400,4900,8200,11000,11000
,Aggregated,5445,11,65,262.7983615610585,9.56160000350792,10530.155800006469,73210.89660238751,22.792927309577337,0.04604631779712593,65,110,170,230,570,1200,2500,3500,7200,11000,11000
