Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,702,0,36,109.5101517096703,13.83450000139419,2460.2510999975493,55835.90883190883,5.895205114868439,0.0,36,44,51,60,150,500,1300,1700,2500,2500,2500
POST,/tasks/,782,1,23,82.92489923285785,1.811399997677654,2773.0981999993674,90.03324808184144,6.567023361577093,0.008397728083858176,23,31,39,50,100,430,760,1300,2800,2800,2800
,Aggregated,1484,1,30,95.50094184655215,1.811399997677654,2773.0981999993674,26460.38679245283,12.462228476445532,0.008397728083858176,30,38,47,56,130,450,910,1500,2500,2800,2800
