Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2316,0,110.0,431.2400873488061,9.573200004524551,7942.9631999955745,127218.1183074266,9.687132306931693,0.0,110,230,380,520,1300,2200,3400,4000,6100,7900,7900
POST,/tasks/,2311,226,67,1343.1988369536948,6.391899994923733,16103.104699999676,19366.55257464301,9.666218808859732,0.9452901128525744,67,190,440,930,7200,9300,11000,12000,15000,16000,16000
,Aggregated,4627,226,88,886.7267245515068,6.391899994923733,16103.104699999676,73350.608385563,19.353351115791423,0.9452901128525744,88,210,400,640,2200,7200,9900,11000,14000,16000,16000
