Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/218,1,0,3.4919000027002767,3.4919000027002767,3.4919000027002767,3.4919000027002767,92.0,0.008390567633852021,0.0,3,3,3,3,3,3,3,3,3,3,3
PATCH,/tasks/218,1,0,14.927600001101382,14.927600001101382,14.927600001101382,14.927600001101382,92.0,0.008390567633852021,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/tasks/219,2,0,3.3814000053098425,4.394150000734953,3.3814000053098425,5.406899996160064,96.0,0.016781135267704042,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/219,2,0,9.139800000411924,18.931750000774628,9.139800000411924,28.72370000113733,96.5,0.016781135267704042,0.0,29,29,29,29,29,29,29,29,29,29,29
PUT,/tasks/219,3,0,87,84.69596666691359,8.766300001298077,158.5103000033996,96.0,0.025171702901556063,0.0,87,87,160,160,160,160,160,160,160,160,160
GET,/tasks/220,1,0,3.0445000011241063,3.0445000011241063,3.0445000011241063,3.0445000011241063,93.0,0.008390567633852021,0.0,3,3,3,3,3,3,3,3,3,3,3
PATCH,/tasks/220,1,0,15.685099999245722,15.685099999245722,15.685099999245722,15.685099999245722,92.0,0.008390567633852021,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,/tasks/221,1,0,8.242000003519934,8.242000003519934,8.242000003519934,8.242000003519934,0.0,0.008390567633852021,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/222,1,0,3.4482000046409667,3.4482000046409667,3.4482000046409667,3.4482000046409667,93.0,0.008390567633852021,0.0,3,3,3,3,3,3,3,3,3,3,3
PUT,/tasks/222,1,0,691.2739999970654,691.2739999970654,691.2739999970654,691.2739999970654,96.0,0.008390567633852021,0.0,690,690,690,690,690,690,690,690,690,690,690
PUT,/tasks/223,1,0,11.136599998280872,11.136599998280872,11.136599998280872,11.136599998280872,96.0,0.008390567633852021,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/tasks/225,1,0,4.607399998349138,4.607399998349138,4.607399998349138,4.607399998349138,89.0,0.008390567633852021,0.0,5,5,5,5,5,5,5,5,5,5,5
PATCH,/tasks/225,1,0,4.939600003126543,4.939600003126543,4.939600003126543,4.939600003126543,89.0,0.008390567633852021,0.0,5,5,5,5,5,5,5,5,5,5,5
PUT,/tasks/226,1,0,10.948700000881217,10.948700000881217,10.948700000881217,10.948700000881217,96.0,0.008390567633852021,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/227,1,0,15.264299996488262,15.264299996488262,15.264299996488262,15.264299996488262,96.0,0.008390567633852021,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/tasks/229,1,0,889.4375999952899,889.4375999952899,889.4375999952899,889.4375999952899,89.0,0.008390567633852021,0.0,890,890,890,890,890,890,890,890,890,890,890
PUT,/tasks/229,1,0,9.570299996994436,9.570299996994436,9.570299996994436,9.570299996994436,96.0,0.008390567633852021,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/tasks/230,1,0,7.632199994986877,7.632199994986877,7.632199994986877,7.632199994986877,0.0,0.008390567633852021,0.0,8,8,8,8,8,8,8,8,8,8,8
PATCH,/tasks/231,1,0,7.318500000110362,7.318500000110362,7.318500000110362,7.318500000110362,92.0,0.008390567633852021,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/tasks/232,1,0,9.312500005762558,9.312500005762558,9.312500005762558,9.312500005762558,0.0,0.008390567633852021,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/232,1,0,4.008500000054482,4.008500000054482,4.008500000054482,4.008500000054482,96.0,0.008390567633852021,0.0,4,4,4,4,4,4,4,4,4,4,4
PATCH,/tasks/232,2,0,4,226.45919999922626,3.993300000729505,448.925099997723,96.0,0.016781135267704042,0.0,450,450,450,450,450,450,450,450,450,450,450
PUT,/tasks/232,1,0,12.091800002963282,12.091800002963282,12.091800002963282,12.091800002963282,96.0,0.008390567633852021,0.0,12,12,12,12,12,12,12,12,12,12,12
PATCH,/tasks/233,1,0,11.266499997873325,11.266499997873325,11.266499997873325,11.266499997873325,95.0,0.008390567633852021,0.0,11,11,11,11,11,11,11,11,11,11,11
PUT,/tasks/233,2,0,9.326699997473042,28.87795000060578,9.326699997473042,48.429200003738515,95.5,0.016781135267704042,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,/tasks/234,1,0,6.668200003332458,6.668200003332458,6.668200003332458,6.668200003332458,0.0,0.008390567633852021,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/tasks/236,2,0,6.00529999792343,271.74769999692217,6.00529999792343,537.4900999959209,92.5,0.016781135267704042,0.0,540,540,540,540,540,540,540,540,540,540,540
PATCH,/tasks/236,1,0,10.360300002503209,10.360300002503209,10.360300002503209,10.360300002503209,97.0,0.008390567633852021,0.0,10,10,10,10,10,10,10,10,10,10,10
PUT,/tasks/236,2,0,25.006899995787535,135.1146999950288,25.006899995787535,245.22249999427004,96.0,0.016781135267704042,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/tasks/238,1,0,3.7317999958759174,3.7317999958759174,3.7317999958759174,3.7317999958759174,93.0,0.008390567633852021,0.0,4,4,4,4,4,4,4,4,4,4,4
PUT,/tasks/238,1,0,758.2118999998784,758.2118999998784,758.2118999998784,758.2118999998784,96.0,0.008390567633852021,0.0,760,760,760,760,760,760,760,760,760,760,760
PUT,/tasks/240,1,0,11.747899996407796,11.747899996407796,11.747899996407796,11.747899996407796,96.0,0.008390567633852021,0.0,12,12,12,12,12,12,12,12,12,12,12
PUT,/tasks/243,1,0,21.495499997399747,21.495499997399747,21.495499997399747,21.495499997399747,96.0,0.008390567633852021,0.0,21,21,21,21,21,21,21,21,21,21,21
