Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,741,0,29,31.991809581847253,8.267600002000108,130.5935000127647,56139.05398110661,6.2346695318949,0.0,29,34,39,43,52,61,77,84,130,130,130
POST,/tasks/,820,0,15,20.046910244074265,6.184000012581237,130.8874999958789,90.1780487804878,6.899364394269659,0.0,15,21,25,28,37,51,63,76,130,130,130
,Aggregated,1561,0,22,25.717102690768552,6.184000012581237,130.8874999958789,26696.33888532992,13.134033926164559,0.0,22,28,33,36,47,57,68,84,130,130,130
