Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,709,0,29,32.15558589577323,9.19399999838788,111.71889999968698,55200.42595204513,5.961776833837395,0.0,29,35,39,43,53,59,72,84,110,110,110
POST,/tasks/,802,0,16,21.11402630921441,6.5810000014607795,111.58279999654042,90.17705735660847,6.743787053226503,0.0,16,22,25,29,39,55,72,81,110,110,110
,Aggregated,1511,0,23,26.29500959635551,6.5810000014607795,111.71889999968698,25949.320979483786,12.705563887063898,0.0,23,29,33,37,49,58,72,84,110,110,110
