Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,69,0,14,16.92116376817348,8.162000005540904,42.41290000209119,22333.0,1.1905329244454554,0.0,14,16,21,22,30,34,39,42,42,42,42
POST,/tasks/,79,0,21,20.591786075541837,6.435200004489161,100.08989999914775,90.39240506329114,1.363073927988275,0.0,21,22,25,27,30,36,42,100,100,100,100
,Aggregated,148,0,17,18.880482432241724,6.435200004489161,100.08989999914775,10460.256756756757,2.5536068524337305,0.0,18,21,23,25,30,36,42,42,100,100,100
