Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,2357,0,99,368.66690432754183,9.016099997097626,6725.5480000021635,129088.22061943148,9.86508122315208,0.0,99,200,380,560,1200,1700,2400,3100,4100,6700,6700
POST,/tasks/,2418,165,64,1220.1247795699162,6.287000003794674,12667.936300000292,13541.140612076097,10.12039304097655,0.6905975400170102,64,190,490,1200,5600,8200,9300,10000,12000,13000,13000
,Aggregated,4775,165,82,799.8344734031564,6.287000003794674,12667.936300000292,70576.63120418848,19.98547426412863,0.6905975400170102,82,200,420,700,2200,5700,8500,9300,12000,13000,13000
