Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,85,0,22,225.85936470611213,13.571100003900938,5018.93600000767,21875.329411764706,1.471777657095996,0.0,22,27,37,43,140,1500,2500,5000,5000,5000,5000
POST,/tasks/,68,0,26,301.08276911821173,11.686500001815148,4787.8596000082325,90.45588235294117,1.1774221256767967,0.0,26,33,40,56,580,2200,4600,4800,4800,4800,4800
,Aggregated,153,0,25,259.29198888926754,11.686500001815148,5018.93600000767,12193.16339869281,2.6491997827727927,0.0,25,29,38,43,420,2200,2700,4800,5000,5000,5000
